,Sample,PC1,PC2,PC3
0,PS3,-5.530548436754679,-0.8810346649429633,0.5910863529050064
1,PS2,-3.6828421090168733,-1.3558862749619636,1.224464680208299
2,PS1,-1.464429772266882,-1.9664321235197622,2.9275215667931165
3,PL2,0.5672187534160794,-1.2564286088803036,-1.7223457054210445
4,PL3,1.4526075040545274,-0.6242858432445666,-2.4473507395278107
5,PL1,2.1223316929031983,-1.3817959285169525,-0.7862033226501067
6,PC3,-0.3856494154993612,3.4190587747434154,1.23938329104339
7,PC2,0.449845339817328,3.1040216440022497,1.8259800320054778
8,PC1,4.914134997747373,2.4622492175224675,4.493573259042119
9,IL3,6.4460431703587195,-2.0583758511085652,-1.9019306720122038
10,IL2,9.858526555251858,-2.3941683798649653,0.5032651657065522
11,IL1,7.600038335833758,-2.9465020123475707,0.47228578990814596
12,IC3,-3.684315890461197,1.3925868444235017,-0.9835335674443344
13,IC2,-3.7003289595914435,0.7060025458418474,0.26667041381714446
14,IC1,-1.8183216876866672,0.983784045655122,1.1048785412624582
15,FS3,-6.10302451926827,-1.0974878104254218,-1.1017990750634965
16,FS2,-5.520447712864497,-0.918067997625075,-0.998943513535494
17,FS1,-5.205587203975015,-0.912329220333729,-0.6057753256355183
18,FL3,2.3623168772594814,3.2346433256471414,-3.0637673282253357
19,FL2,2.592824027169196,3.132666247838702,-2.4160504798797904
20,FL1,5.071278228825866,2.171469737657383,-0.7499932247337994
21,FC3,-3.9125182742502327,-0.8686003053605208,-0.2822506387441376
22,FC2,-2.497306336167447,-0.72836051159882,0.1689862046064723
23,FC1,0.06815483516517036,-1.2167268506006488,2.2418482955748917
